Compound Type	Standard Deviation	Docking Strategy
LLM (1000)	0.23625	rDock
LLM (1000)	0.11483	rDock
LLM (1000)	0.1772	rDock
LLM (1000)	0.21296	rDock
LLM (1000)	0.2369	rDock
LLM (1000)	0.1954	rDock
LLM (1000)	0.24102	rDock
LLM (1000)	0.23489	rDock
LLM (1000)	0.15512	rDock
LLM (1000)	0.28386	rDock
LLM (1000)	0.19234	rDock
LLM (1000)	0.20022	rDock
LLM (1000)	0.18207	rDock
LLM (1000)	0.19996	rDock
LLM (1000)	0.22006	rDock
LLM (1000)	0.20259	rDock
LLM (1000)	0.20089	rDock
LLM (1000)	0.20054	rDock
LLM (1000)	0.20882	rDock
LLM (1000)	0.22713	rDock
LLM (1000)	0.2057	rDock
LLM (1000)	0.19504	rDock
LLM (1000)	0.21335	rDock
LLM (1000)	0.23137	rDock
LLM (1000)	0.21262	rDock
LLM (1000)	0.15464	rDock
LLM (1000)	0.15984	rDock
LLM (1000)	0.11506	rDock
LLM (1000)	0.20704	rDock
LLM (1000)	0.21282	rDock
LLM (1000)	0.15361	rDock
LLM (1000)	0.21123	rDock
LLM (1000)	0.21781	rDock
LLM (1000)	0.12696	rDock
LLM (1000)	0.1894	rDock
LLM (1000)	0.2099	rDock
LLM (1000)	0.21598	rDock
LLM (1000)	0.1746	rDock
LLM (1000)	0.198	rDock
LLM (1000)	0.22015	rDock
LLM (1000)	0.21477	rDock
LLM (1000)	0.22007	rDock
LLM (1000)	0.1396	rDock
LLM (1000)	0.17182	rDock
LLM (1000)	0.15802	rDock
LLM (1000)	0.20636	rDock
LLM (1000)	0.20068	rDock
LLM (1000)	0.18041	rDock
LLM (1000)	0.13148	rDock
LLM (1000)	0.17158	rDock
LLM (1000)	0.22067	rDock
LLM (1000)	0.17015	rDock
LLM (1000)	0.23912	rDock
LLM (1000)	0.14894	rDock
LLM (1000)	0.16189	rDock
LLM (1000)	0.2081	rDock
LLM (1000)	0.09148	rDock
LLM (1000)	0.26628	rDock
LLM (1000)	0.17364	rDock
LLM (1000)	0.2145	rDock
LLM (1000)	0.17092	rDock
LLM (1000)	0.13121	rDock
LLM (1000)	0.18932	rDock
LLM (1000)	0.18655	rDock
LLM (1000)	0.15987	rDock
LLM (1000)	0.21037	rDock
LLM (1000)	0.1826	rDock
LLM (1000)	0.17655	rDock
LLM (1000)	0.20035	rDock
LLM (1000)	0.19841	rDock
LLM (1000)	0.16191	rDock
LLM (1000)	0.21412	rDock
LLM (1000)	0.23558	rDock
LLM (1000)	0.20524	rDock
LLM (1000)	0.22796	rDock
LLM (1000)	0.19346	rDock
LLM (1000)	0.24532	rDock
LLM (1000)	0.24835	rDock
LLM (1000)	0.21602	rDock
LLM (1000)	0.22945	rDock
LLM (1000)	0.24075	rDock
LLM (1000)	0.24766	rDock
LLM (1000)	0.20185	rDock
LLM (1000)	0.22755	rDock
LLM (1000)	0.17171	rDock
LLM (1000)	0.24402	rDock
LLM (1000)	0.28845	rDock
LLM (1000)	0.16561	rDock
LLM (1000)	0.28205	rDock
LLM (1000)	0.21687	rDock
LLM (1000)	0.10311	rDock
LLM (1000)	0.12638	rDock
LLM (1000)	0.18123	rDock
LLM (1000)	0.1728	rDock
LLM (1000)	0.17666	rDock
LLM (1000)	0.20347	rDock
LLM (1000)	0.1008	rDock
LLM (1000)	0.19956	rDock
LLM (1000)	0.22585	rDock
LLM (1000)	0.22074	rDock
LLM (1000)	0.12877	rDock
LLM (1000)	0.19627	rDock
LLM (1000)	0.1875	rDock
LLM (1000)	0.24652	rDock
LLM (1000)	0.25426	rDock
LLM (1000)	0.20865	rDock
LLM (1000)	0.1766	rDock
LLM (1000)	0.15273	rDock
LLM (1000)	0.23787	rDock
LLM (1000)	0.27356	rDock
LLM (1000)	0.1717	rDock
LLM (1000)	0.18692	rDock
LLM (1000)	0.2496	rDock
LLM (1000)	0.20268	rDock
LLM (1000)	0.15433	rDock
LLM (1000)	0.23647	rDock
LLM (1000)	0.17543	rDock
LLM (1000)	0.26853	rDock
LLM (1000)	0.2626	rDock
LLM (1000)	0.23559	rDock
LLM (1000)	0.21121	rDock
LLM (1000)	0.16943	rDock
LLM (1000)	0.20492	rDock
LLM (1000)	0.213	rDock
LLM (1000)	0.18868	rDock
LLM (1000)	0.18687	rDock
LLM (1000)	0.18995	rDock
LLM (1000)	0.17318	rDock
LLM (1000)	0.14443	rDock
LLM (1000)	0.21356	rDock
LLM (1000)	0.13747	rDock
LLM (1000)	0.1559	rDock
LLM (1000)	0.12161	rDock
LLM (1000)	0.0935	rDock
LLM (1000)	0.16801	rDock
LLM (1000)	0.18649	rDock
LLM (1000)	0.16413	rDock
LLM (1000)	0.18831	rDock
LLM (1000)	0.26741	rDock
LLM (1000)	0.18007	rDock
LLM (1000)	0.16245	rDock
LLM (1000)	0.14788	rDock
LLM (1000)	0.18715	rDock
LLM (1000)	0.20229	rDock
LLM (1000)	0.20323	rDock
LLM (1000)	0.13809	rDock
LLM (1000)	0.07953	rDock
LLM (1000)	0.19683	rDock
LLM (1000)	0.19093	rDock
LLM (1000)	0.15921	rDock
LLM (1000)	0.1823	rDock
LLM (1000)	0.166	rDock
LLM (1000)	0.24701	rDock
LLM (1000)	0.21208	rDock
LLM (1000)	0.13929	rDock
LLM (1000)	0.208	rDock
LLM (1000)	0.19282	rDock
LLM (1000)	0.18737	rDock
LLM (1000)	0.176	rDock
LLM (1000)	0.22714	rDock
LLM (1000)	0.22194	rDock
LLM (1000)	0.23328	rDock
LLM (1000)	0.11031	rDock
LLM (1000)	0.196	rDock
LLM (1000)	0.15038	rDock
LLM (1000)	0.21083	rDock
LLM (1000)	0.26158	rDock
LLM (1000)	0.21433	rDock
LLM (1000)	0.22806	rDock
LLM (1000)	0.14812	rDock
LLM (1000)	0.12599	rDock
LLM (1000)	0.19336	rDock
LLM (1000)	0.20311	rDock
LLM (1000)	0.20846	rDock
LLM (1000)	0.20321	rDock
LLM (1000)	0.1399	rDock
LLM (1000)	0.19267	rDock
LLM (1000)	0.25421	rDock
LLM (1000)	0.20053	rDock
LLM (1000)	0.20706	rDock
LLM (1000)	0.20768	rDock
LLM (1000)	0.20095	SMINA
LLM (1000)	0.16368	SMINA
LLM (1000)	0.15485	SMINA
LLM (1000)	0.13049	SMINA
LLM (1000)	0.09764	SMINA
LLM (1000)	0.30889	SMINA
LLM (1000)	0.16739	SMINA
LLM (1000)	0.21639	SMINA
LLM (1000)	0.18528	SMINA
LLM (1000)	0.18637	SMINA
LLM (1000)	0.22815	SMINA
LLM (1000)	0.21812	SMINA
LLM (1000)	0.19561	SMINA
LLM (1000)	0.20898	SMINA
LLM (1000)	0.14923	SMINA
LLM (1000)	0.15735	SMINA
LLM (1000)	0.18747	SMINA
LLM (1000)	0.17781	SMINA
LLM (1000)	0.17107	SMINA
LLM (1000)	0.18747	SMINA
LLM (1000)	0.21331	SMINA
LLM (1000)	0.1654	SMINA
LLM (1000)	0.20183	SMINA
LLM (1000)	0.10224	SMINA
LLM (1000)	0.20568	SMINA
LLM (1000)	0.18268	SMINA
LLM (1000)	0.16766	SMINA
LLM (1000)	0.16227	SMINA
LLM (1000)	0.15871	SMINA
LLM (1000)	0.17241	SMINA
LLM (1000)	0.18277	SMINA
LLM (1000)	0.13105	SMINA
LLM (1000)	0.17283	SMINA
LLM (1000)	0.13845	SMINA
LLM (1000)	0.16375	SMINA
LLM (1000)	0.19037	SMINA
LLM (1000)	0.18217	SMINA
LLM (1000)	0.14603	SMINA
LLM (1000)	0.19585	SMINA
LLM (1000)	0.18906	SMINA
LLM (1000)	0.17995	SMINA
LLM (1000)	0.32973	SMINA
LLM (1000)	0.20561	SMINA
LLM (1000)	0.23813	SMINA
LLM (1000)	0.13583	SMINA
LLM (1000)	0.21574	SMINA
LLM (1000)	0.16356	SMINA
LLM (1000)	0.16074	SMINA
LLM (1000)	0.1672	SMINA
LLM (1000)	0.12046	SMINA
LLM (1000)	0.13401	SMINA
LLM (1000)	0.19394	SMINA
LLM (1000)	0.13954	SMINA
LLM (1000)	0.21235	SMINA
LLM (1000)	0.15514	SMINA
LLM (1000)	0.15957	SMINA
LLM (1000)	0.21979	SMINA
LLM (1000)	0.16342	SMINA
LLM (1000)	0.20557	SMINA
LLM (1000)	0.18494	SMINA
LLM (1000)	0.20065	SMINA
LLM (1000)	0.19646	SMINA
LLM (1000)	0.2181	SMINA
LLM (1000)	0.14863	SMINA
LLM (1000)	0.12829	SMINA
LLM (1000)	0.16032	SMINA
LLM (1000)	0.15119	SMINA
LLM (1000)	0.17835	SMINA
LLM (1000)	0.142	SMINA
LLM (1000)	0.16139	SMINA
LLM (1000)	0.17032	SMINA
LLM (1000)	0.18135	SMINA
LLM (1000)	0.17625	SMINA
LLM (1000)	0.12706	SMINA
LLM (1000)	0.15508	SMINA
LLM (1000)	0.30072	SMINA
LLM (1000)	0.17081	SMINA
LLM (1000)	0.17268	SMINA
LLM (1000)	0.23365	SMINA
LLM (1000)	0.18381	SMINA
LLM (1000)	0.17616	SMINA
LLM (1000)	0.13346	SMINA
LLM (1000)	0.2345	SMINA
LLM (1000)	0.24302	SMINA
LLM (1000)	0.11711	SMINA
LLM (1000)	0.19703	SMINA
LLM (1000)	0.17181	SMINA
LLM (1000)	0.17755	SMINA
LLM (1000)	0.17824	SMINA
LLM (1000)	0.16775	SMINA
LLM (1000)	0.26086	SMINA
LLM (1000)	0.16925	SMINA
LLM (1000)	0.11194	SMINA
LLM (1000)	0.19075	SMINA
LLM (1000)	0.15631	SMINA
LLM (1000)	0.19881	SMINA
LLM (1000)	0.20219	SMINA
LLM (1000)	0.13199	SMINA
LLM (1000)	0.24104	SMINA
LLM (1000)	0.25323	SMINA
LLM (1000)	0.24602	SMINA
LLM (1000)	0.25607	SMINA
LLM (1000)	0.28691	SMINA
LLM (1000)	0.17325	SMINA
LLM (1000)	0.17932	SMINA
LLM (1000)	0.17034	SMINA
LLM (1000)	0.18635	SMINA
LLM (1000)	0.1675	SMINA
LLM (1000)	0.1858	SMINA
LLM (1000)	0.31331	SMINA
LLM (1000)	0.15019	SMINA
LLM (1000)	0.16763	SMINA
LLM (1000)	0.18487	SMINA
LLM (1000)	0.23664	SMINA
LLM (1000)	0.24778	SMINA
LLM (1000)	0.18734	SMINA
LLM (1000)	0.19857	SMINA
LLM (1000)	0.16806	SMINA
LLM (1000)	0.20703	SMINA
LLM (1000)	0.09433	SMINA
LLM (1000)	0.12152	SMINA
LLM (1000)	0.1765	SMINA
LLM (1000)	0.15393	SMINA
LLM (1000)	0.18753	SMINA
LLM (1000)	0.21935	SMINA
LLM (1000)	0.21842	SMINA
LLM (1000)	0.13359	SMINA
LLM (1000)	0.18645	SMINA
LLM (1000)	0.12801	SMINA
LLM (1000)	0.19053	SMINA
LLM (1000)	0.26607	SMINA
LLM (1000)	0.14921	SMINA
LLM (1000)	0.20181	SMINA
LLM (1000)	0.13933	SMINA
LLM (1000)	0.17055	SMINA
LLM (1000)	0.17541	SMINA
LLM (1000)	0.19318	SMINA
LLM (1000)	0.15303	SMINA
LLM (1000)	0.17852	SMINA
LLM (1000)	0.1607	SMINA
LLM (1000)	0.17149	SMINA
LLM (1000)	0.17095	SMINA
LLM (1000)	0.22037	SMINA
LLM (1000)	0.18967	SMINA
LLM (1000)	0.16095	SMINA
LLM (1000)	0.1813	SMINA
LLM (1000)	0.18478	SMINA
LLM (1000)	0.20377	SMINA
LLM (1000)	0.18201	SMINA
LLM (1000)	0.18306	SMINA
LLM (1000)	0.16731	SMINA
LLM (1000)	0.17122	SMINA
LLM (1000)	0.21398	SMINA
LLM (1000)	0.15904	SMINA
LLM (1000)	0.20541	SMINA
LLM (1000)	0.16268	SMINA
LLM (1000)	0.18761	SMINA
LLM (1000)	0.1787	SMINA
LLM (1000)	0.21142	SMINA
LLM (1000)	0.17607	SMINA
LLM (1000)	0.16253	SMINA
LLM (1000)	0.26495	SMINA
LLM (1000)	0.17016	SMINA
LLM (1000)	0.18439	SMINA
LLM (1000)	0.15849	SMINA
LLM (1000)	0.23651	SMINA
LLM (1000)	0.15978	SMINA
LLM (1000)	0.13042	SMINA
LLM (1000)	0.22951	SMINA
LLM (1000)	0.16862	SMINA
LLM (1000)	0.28064	SMINA
LLM (1000)	0.09507	SMINA
LLM (1000)	0.15494	SMINA
LLM (1000)	0.16424	SMINA
LLM (1000)	0.15014	SMINA
LLM (1000)	0.16903	SMINA
LLM (1000)	0.17938	SMINA
LLM (1000)	0.25088	SMINA
LLM (1000)	0.19424	SMINA
LLM (1000)	0.28414	SMINA
LLM (1000)	0.32058	SMINA
LLM (1000)	0.19854	SMINA
LLM (1000)	0.15448	SMINA
LLM (1000)	0.18038	SMINA
LLM (1000)	0.17468	SMINA
LLM (1000)	0.1743	SMINA
LLM (1000)	0.17041	SMINA
LLM (1000)	0.27901	SMINA
LLM (1000)	0.21077	SMINA
LLM (1000)	0.12874	SMINA
LLM (1000)	0.17427	SMINA
LLM (1000)	0.2504	SMINA
LLM (1000)	0.17792	SMINA
LLM (1000)	0.14558	SMINA
LLM (1000)	0.14729	SMINA
LLM (1000)	0.12797	SMINA
LLM (1000)	0.1883	SMINA
LLM (1000)	0.13859	SMINA
LLM (1000)	0.11251	SMINA
LLM (1000)	0.22904	SMINA
LLM (1000)	0.16395	SMINA
LLM (1000)	0.18317	SMINA
LLM (1000)	0.19061	SMINA
LLM (1000)	0.23729	SMINA
LLM (1000)	0.22925	SMINA
LLM (1000)	0.22294	SMINA
LLM (1000)	0.16055	SMINA
LLM (1000)	0.20716	SMINA
LLM (1000)	0.1487	SMINA
LLM (1000)	0.18313	SMINA
LLM (1000)	0.15237	SMINA
LLM (1000)	0.18988	SMINA
LLM (1000)	0.24878	SMINA
LLM (1000)	0.22474	SMINA
LLM (1000)	0.16752	SMINA
LLM (1000)	0.22124	SMINA
LLM (1000)	0.20756	SMINA
LLM (1000)	0.23988	SMINA
LLM (1000)	0.1374	SMINA
LLM (1000)	0.23705	SMINA
LLM (1000)	0.20359	SMINA
LLM (1000)	0.20629	SMINA
LLM (1000)	0.21917	SMINA
LLM (1000)	0.18796	SMINA
LLM (1000)	0.21326	SMINA
LLM (1000)	0.19728	SMINA
LLM (1000)	0.28994	SMINA
LLM (1000)	0.17765	SMINA
LLM (1000)	0.24728	SMINA
LLM (1000)	0.27282	SMINA
LLM (1000)	0.25433	SMINA
LLM (1000)	0.19096	SMINA
LLM (1000)	0.10278	SMINA
LLM (1000)	0.21342	SMINA
LLM (1000)	0.17469	SMINA
LLM (1000)	0.15222	SMINA
LLM (1000)	0.15039	SMINA
LLM (1000)	0.14391	SMINA
LLM (1000)	0.16542	SMINA
LLM (1000)	0.12004	SMINA
LLM (1000)	0.17922	SMINA
LLM (1000)	0.17355	SMINA
LLM (1000)	0.16987	SMINA
LLM (1000)	0.28416	SMINA
LLM (1000)	0.24584	SMINA
LLM (1000)	0.25758	SMINA
LLM (1000)	0.1831	SMINA
LLM (1000)	0.17711	SMINA
LLM (1000)	0.1161	SMINA
LLM (1000)	0.30303	SMINA
LLM (1000)	0.1489	SMINA
LLM (1000)	0.30324	SMINA
LLM (1000)	0.22009	SMINA
LLM (1000)	0.17881	SMINA
LLM (1000)	0.18744	SMINA
LLM (1000)	0.19487	SMINA
LLM (1000)	0.20817	SMINA
LLM (1000)	0.14204	SMINA
LLM (1000)	0.19744	SMINA
LLM (1000)	0.17929	SMINA
LLM (1000)	0.19647	SMINA
LLM (1000)	0.12767	SMINA
LLM (1000)	0.20486	SMINA
LLM (1000)	0.16782	SMINA
LLM (1000)	0.15059	SMINA
LLM (1000)	0.09741	SMINA
LLM (1000)	0.16445	SMINA
LLM (1000)	0.1253	SMINA
LLM (1000)	0.19188	SMINA
LLM (1000)	0.1615	SMINA
LLM (1000)	0.15726	SMINA
LLM (1000)	0.24292	SMINA
LLM (1000)	0.17127	SMINA
LLM (1000)	0.23332	SMINA
LLM (1000)	0.18439	SMINA
LLM (1000)	0.15818	SMINA
LLM (1000)	0.25644	SMINA
LLM (1000)	0.17455	SMINA
LLM (1000)	0.13709	SMINA
LLM (1000)	0.20384	SMINA
LLM (1000)	0.1001	SMINA
LLM (1000)	0.13738	SMINA
LLM (1000)	0.18324	SMINA
LLM (1000)	0.15068	SMINA
LLM (1000)	0.21068	SMINA
LLM (1000)	0.13887	SMINA
LLM (1000)	0.19482	SMINA
LLM (1000)	0.17367	SMINA
LLM (1000)	0.18946	SMINA
LLM (1000)	0.15896	SMINA
LLM (1000)	0.15654	SMINA
LLM (1000)	0.16554	SMINA
LLM (1000)	0.14572	SMINA
LLM (1000)	0.13087	SMINA
LLM (1000)	0.12219	SMINA
LLM (1000)	0.14935	SMINA
LLM (1000)	0.14506	SMINA
LLM (1000)	0.16721	SMINA
LLM (1000)	0.26162	SMINA
LLM (1000)	0.10919	SMINA
LLM (1000)	0.2579	SMINA
LLM (1000)	0.21894	SMINA
LLM (1000)	0.16671	SMINA
LLM (1000)	0.19828	SMINA
LLM (1000)	0.14962	SMINA
LLM (1000)	0.29311	SMINA
LLM (1000)	0.2506	SMINA
LLM (1000)	0.28223	SMINA
LLM (1000)	0.16284	SMINA
LLM (1000)	0.21058	SMINA
LLM (1000)	0.20402	SMINA
LLM (1000)	0.17961	SMINA
LLM (1000)	0.18135	SMINA
LLM (1000)	0.23651	SMINA
LLM (1000)	0.19955	SMINA
LLM (1000)	0.19283	SMINA
LLM (1000)	0.1388	SMINA
LLM (1000)	0.11025	SMINA
LLM (1000)	0.21175	SMINA
LLM (1000)	0.16942	SMINA
LLM (1000)	0.16852	SMINA
LLM (1000)	0.11173	SMINA
LLM (1000)	0.14329	SMINA
LLM (1000)	0.22186	SMINA
LLM (1000)	0.12257	SMINA
LLM (1000)	0.13402	SMINA
LLM (1000)	0.08895	SMINA
LLM (1000)	0.12806	SMINA
LLM (1000)	0.12008	SMINA
LLM (1000)	0.15299	SMINA
LLM (1000)	0.07983	SMINA
LLM (1000)	0.16068	SMINA
LLM (1000)	0.17996	SMINA
LLM (1000)	0.1141	SMINA
LLM (1000)	0.17859	SMINA
LLM (1000)	0.25973	SMINA
LLM (1000)	0.22717	SMINA
LLM (1000)	0.15919	SMINA
LLM (1000)	0.1675	SMINA
LLM (1000)	0.18301	SMINA
LLM (1000)	0.24375	SMINA
LLM (1000)	0.14105	SMINA
LLM (1000)	0.15977	SMINA
LLM (1000)	0.14984	SMINA
LLM (1000)	0.21003	SMINA
LLM (1000)	0.20409	SMINA
LLM (1000)	0.20294	SMINA
LLM (1000)	0.17724	SMINA
LLM (1000)	0.25832	SMINA
LLM (1000)	0.18628	SMINA
LLM (1000)	0.15993	SMINA
LLM (1000)	0.29615	SMINA
LLM (1000)	0.17726	SMINA
LLM (1000)	0.14739	SMINA
LLM (1000)	0.264	SMINA
LLM (1000)	0.20236	SMINA
LLM (1000)	0.15415	SMINA
LLM (1000)	0.09237	SMINA
LLM (1000)	0.17323	SMINA
LLM (1000)	0.23936	SMINA
LLM (1000)	0.22387	SMINA
LLM (1000)	0.17711	SMINA
LLM (1000)	0.14275	SMINA
LLM (1000)	0.16477	SMINA
LLM (1000)	0.15721	SMINA
LLM (1000)	0.19448	SMINA
LLM (1000)	0.21303	SMINA
LLM (1000)	0.13984	SMINA
LLM (1000)	0.17053	SMINA
LLM (1000)	0.17396	SMINA
LLM (1000)	0.20476	SMINA
LLM (1000)	0.16239	SMINA
LLM (1000)	0.17224	SMINA
LLM (1000)	0.14918	SMINA
LLM (1000)	0.16222	SMINA
LLM (1000)	0.21772	SMINA
LLM (1000)	0.16272	SMINA
LLM (1000)	0.1421	SMINA
LLM (1000)	0.20059	SMINA
LLM (1000)	0.17985	SMINA
LLM (1000)	0.29729	SMINA
LLM (1000)	0.18455	SMINA
LLM (1000)	0.11486	SMINA
LLM (1000)	0.27293	SMINA
LLM (1000)	0.31694	SMINA
LLM (1000)	0.24395	SMINA
LLM (1000)	0.17845	SMINA
LLM (1000)	0.17689	SMINA
LLM (1000)	0.25302	SMINA
LLM (1000)	0.19613	SMINA
LLM (1000)	0.24438	SMINA
LLM (1000)	0.20351	SMINA
LLM (1000)	0.19647	SMINA
LLM (1000)	0.16143	SMINA
LLM (1000)	0.1721	SMINA
LLM (1000)	0.12178	SMINA
LLM (1000)	0.25982	SMINA
LLM (1000)	0.1775	SMINA
LLM (1000)	0.2389	SMINA
LLM (1000)	0.1835	SMINA
LLM (1000)	0.15729	SMINA
LLM (1000)	0.15516	SMINA
LLM (1000)	0.21929	SMINA
LLM (1000)	0.16108	SMINA
LLM (1000)	0.1625	SMINA
LLM (1000)	0.18611	SMINA
LLM (1000)	0.16303	SMINA
LLM (1000)	0.25418	SMINA
LLM (1000)	0.14314	SMINA
LLM (1000)	0.26543	SMINA
LLM (1000)	0.21442	SMINA
LLM (1000)	0.10139	SMINA
LLM (1000)	0.1128	SMINA
LLM (1000)	0.16961	SMINA
LLM (1000)	0.34841	SMINA
LLM (1000)	0.22063	SMINA
LLM (1000)	0.15646	SMINA
LLM (1000)	0.10623	SMINA
LLM (1000)	0.15071	SMINA
LLM (1000)	0.19456	SMINA
LLM (1000)	0.14611	SMINA
LLM (1000)	0.1837	SMINA
LLM (1000)	0.11963	SMINA
LLM (1000)	0.18795	SMINA
LLM (1000)	0.15566	SMINA
LLM (1000)	0.15542	SMINA
LLM (1000)	0.26163	SMINA
LLM (1000)	0.25268	SMINA
LLM (1000)	0.15524	SMINA
LLM (1000)	0.1436	SMINA
LLM (1000)	0.16033	SMINA
LLM (1000)	0.16588	SMINA
LLM (1000)	0.16924	SMINA
LLM (1000)	0.16228	SMINA
LLM (1000)	0.18682	SMINA
LLM (1000)	0.17652	SMINA
LLM (1000)	0.16735	SMINA
LLM (1000)	0.14972	SMINA
LLM (1000)	0.22576	SMINA
LLM (1000)	0.24307	SMINA
LLM (1000)	0.18547	SMINA
LLM (1000)	0.16294	SMINA
LLM (1000)	0.23187	SMINA
LLM (1000)	0.17808	SMINA
LLM (1000)	0.23185	SMINA
LLM (1000)	0.22208	SMINA
LLM (1000)	0.22494	SMINA
LLM (1000)	0.25396	SMINA
LLM (1000)	0.28634	SMINA
LLM (1000)	0.19139	SMINA
LLM (1000)	0.19636	SMINA
LLM (1000)	0.17357	SMINA
LLM (1000)	0.15744	SMINA
LLM (1000)	0.18798	SMINA
LLM (1000)	0.1521	SMINA
LLM (1000)	0.142	SMINA
LLM (1000)	0.09726	SMINA
LLM (1000)	0.21988	SMINA
LLM (1000)	0.27503	SMINA
LLM (1000)	0.16178	SMINA
LLM (1000)	0.22627	SMINA
LLM (1000)	0.20259	SMINA
LLM (1000)	0.20049	SMINA
LLM (1000)	0.21365	SMINA
LLM (1000)	0.17468	SMINA
LLM (1000)	0.15017	SMINA
LLM (1000)	0.21042	SMINA
LLM (1000)	0.15757	SMINA
LLM (1000)	0.25657	SMINA
LLM (1000)	0.18496	SMINA
LLM (1000)	0.20884	SMINA
LLM (1000)	0.13782	SMINA
LLM (1000)	0.14308	SMINA
LLM (1000)	0.143	SMINA
LLM (1000)	0.15534	SMINA
LLM (1000)	0.20404	SMINA
LLM (1000)	0.12786	SMINA
LLM (1000)	0.12121	SMINA
LLM (1000)	0.2352	SMINA
LLM (1000)	0.10755	SMINA
LLM (1000)	0.15103	SMINA
LLM (1000)	0.20317	SMINA
LLM (1000)	0.16704	SMINA
LLM (1000)	0.21516	SMINA
LLM (1000)	0.18765	SMINA
LLM (1000)	0.20346	SMINA
LLM (1000)	0.11908	SMINA
LLM (1000)	0.13709	SMINA
LLM (1000)	0.09912	SMINA
LLM (1000)	0.19199	SMINA
LLM (1000)	0.18802	SMINA
LLM (1000)	0.21462	SMINA
LLM (1000)	0.16604	SMINA
LLM (1000)	0.17847	SMINA
LLM (1000)	0.15988	SMINA
LLM (1000)	0.15534	SMINA
LLM (1000)	0.19211	SMINA
LLM (1000)	0.13206	SMINA
LLM (1000)	0.29623	SMINA
LLM (1000)	0.12732	SMINA
LLM (1000)	0.15659	SMINA
LLM (1000)	0.33479	SMINA
LLM (1000)	0.09961	SMINA
LLM (1000)	0.15098	SMINA
LLM (1000)	0.11169	SMINA
LLM (1000)	0.20296	SMINA
LLM (1000)	0.08665	SMINA
LLM (1000)	0.20093	SMINA
LLM (1000)	0.20343	SMINA
LLM (1000)	0.18933	SMINA
LLM (1000)	0.11839	SMINA
LLM (1000)	0.21253	SMINA
LLM (1000)	0.18803	SMINA
LLM (1000)	0.22051	SMINA
LLM (1000)	0.2095	SMINA
LLM (1000)	0.1982	SMINA
LLM (1000)	0.20654	SMINA
LLM (1000)	0.15362	SMINA
LLM (1000)	0.14867	SMINA
LLM (1000)	0.19459	SMINA
LLM (1000)	0.18827	SMINA
LLM (1000)	0.23048	SMINA
LLM (1000)	0.21568	SMINA
LLM (1000)	0.24571	SMINA
LLM (1000)	0.19421	SMINA
LLM (1000)	0.19089	SMINA
LLM (1000)	0.13917	SMINA
LLM (1000)	0.207	SMINA
LLM (1000)	0.21984	SMINA
LLM (1000)	0.18879	SMINA
LLM (1000)	0.15486	SMINA
LLM (1000)	0.26023	SMINA
LLM (1000)	0.25379	SMINA
LLM (1000)	0.13178	SMINA
LLM (1000)	0.15328	SMINA
LLM (1000)	0.14303	SMINA
LLM (1000)	0.18137	SMINA
LLM (1000)	0.15208	SMINA
LLM (1000)	0.1794	SMINA
LLM (1000)	0.15733	SMINA
LLM (1000)	0.18222	SMINA
LLM (1000)	0.19561	SMINA
LLM (1000)	0.17818	SMINA
LLM (1000)	0.18582	SMINA
LLM (1000)	0.14568	SMINA
LLM (1000)	0.1797	SMINA
LLM (1000)	0.18158	SMINA
LLM (1000)	0.28351	SMINA
LLM (1000)	0.10383	SMINA
LLM (1000)	0.27497	SMINA
LLM (1000)	0.21002	SMINA
LLM (1000)	0.1526	SMINA
LLM (1000)	0.17535	SMINA
LLM (1000)	0.17056	SMINA
LLM (1000)	0.12924	SMINA
LLM (1000)	0.16333	SMINA
LLM (1000)	0.15148	SMINA
LLM (1000)	0.09932	SMINA
LLM (1000)	0.13099	SMINA
LLM (1000)	0.20251	SMINA
LLM (1000)	0.1798	SMINA
LLM (1000)	0.26878	SMINA
LLM (1000)	0.215	SMINA
LLM (1000)	0.21841	SMINA
LLM (1000)	0.24447	SMINA
LLM (1000)	0.24811	SMINA
LLM (1000)	0.14834	SMINA
LLM (1000)	0.27144	SMINA
LLM (1000)	0.26915	SMINA
LLM (1000)	0.22974	SMINA
LLM (1000)	0.20448	SMINA
LLM (1000)	0.23153	SMINA
LLM (1000)	0.17315	SMINA
LLM (1000)	0.29508	SMINA
LLM (1000)	0.23706	SMINA
LLM (1000)	0.20173	SMINA
LLM (1000)	0.13189	SMINA
LLM (1000)	0.37914	SMINA
LLM (1000)	0.17331	SMINA
LLM (1000)	0.21015	SMINA
LLM (1000)	0.17699	SMINA
LLM (1000)	0.1813	SMINA
LLM (1000)	0.14848	SMINA
LLM (1000)	0.23166	SMINA
LLM (1000)	0.20687	SMINA
LLM (1000)	0.28419	SMINA
LLM (1000)	0.1643	SMINA
LLM (1000)	0.16831	SMINA
LLM (1000)	0.14169	SMINA
LLM (1000)	0.14085	SMINA
LLM (1000)	0.23249	SMINA
LLM (1000)	0.14683	SMINA
LLM (1000)	0.30783	SMINA
LLM (1000)	0.18341	SMINA
LLM (1000)	0.18528	SMINA
LLM (1000)	0.17367	SMINA
LLM (1000)	0.17958	SMINA
LLM (1000)	0.3328	SMINA
LLM (1000)	0.34612	SMINA
LLM (1000)	0.30743	SMINA
LLM (1000)	0.25871	SMINA
LLM (1000)	0.2011	SMINA
LLM (1000)	0.16912	SMINA
LLM (1000)	0.29323	SMINA
LLM (1000)	0.17227	SMINA
LLM (1000)	0.2909	SMINA
