Compound Type	Standard Deviation	Docking Strategy
LLM (1000)	0.22211	rDock
LLM (1000)	0.19726	rDock
LLM (1000)	0.20138	rDock
LLM (1000)	0.15451	rDock
LLM (1000)	0.21729	rDock
LLM (1000)	0.18893	rDock
LLM (1000)	0.15622	rDock
LLM (1000)	0.21415	rDock
LLM (1000)	0.21077	rDock
LLM (1000)	0.19781	rDock
LLM (1000)	0.18417	rDock
LLM (1000)	0.20874	rDock
LLM (1000)	0.28071	rDock
LLM (1000)	0.21688	rDock
LLM (1000)	0.26571	rDock
LLM (1000)	0.23102	rDock
LLM (1000)	0.1554	rDock
LLM (1000)	0.25961	rDock
LLM (1000)	0.25878	rDock
LLM (1000)	0.16691	rDock
LLM (1000)	0.23202	rDock
LLM (1000)	0.1368	rDock
LLM (1000)	0.11308	rDock
LLM (1000)	0.20495	rDock
LLM (1000)	0.22235	rDock
LLM (1000)	0.31402	rDock
LLM (1000)	0.24663	rDock
LLM (1000)	0.21674	rDock
LLM (1000)	0.29085	rDock
LLM (1000)	0.24043	rDock
LLM (1000)	0.19844	rDock
LLM (1000)	0.19843	rDock
LLM (1000)	0.26884	rDock
LLM (1000)	0.26355	rDock
LLM (1000)	0.24267	rDock
LLM (1000)	0.25537	rDock
LLM (1000)	0.19863	rDock
LLM (1000)	0.26916	rDock
LLM (1000)	0.18764	rDock
LLM (1000)	0.26403	rDock
LLM (1000)	0.2499	rDock
LLM (1000)	0.26857	rDock
LLM (1000)	0.29398	rDock
LLM (1000)	0.28426	rDock
LLM (1000)	0.28043	rDock
LLM (1000)	0.16997	rDock
LLM (1000)	0.23618	rDock
LLM (1000)	0.19586	rDock
LLM (1000)	0.15777	rDock
LLM (1000)	0.15981	rDock
LLM (1000)	0.16305	rDock
LLM (1000)	0.21598	rDock
LLM (1000)	0.238	rDock
LLM (1000)	0.24114	rDock
LLM (1000)	0.22966	rDock
LLM (1000)	0.25661	rDock
LLM (1000)	0.27155	rDock
LLM (1000)	0.28846	rDock
LLM (1000)	0.24321	rDock
LLM (1000)	0.21506	rDock
LLM (1000)	0.19656	rDock
LLM (1000)	0.16333	rDock
LLM (1000)	0.25129	rDock
LLM (1000)	0.2178	rDock
LLM (1000)	0.25541	rDock
LLM (1000)	0.26587	rDock
LLM (1000)	0.13326	rDock
LLM (1000)	0.25802	rDock
LLM (1000)	0.22726	rDock
LLM (1000)	0.2535	rDock
LLM (1000)	0.20235	rDock
LLM (1000)	0.27346	rDock
LLM (1000)	0.24165	rDock
LLM (1000)	0.21556	rDock
LLM (1000)	0.13771	rDock
LLM (1000)	0.17481	rDock
LLM (1000)	0.2131	rDock
LLM (1000)	0.21676	rDock
LLM (1000)	0.15591	rDock
LLM (1000)	0.21253	rDock
LLM (1000)	0.21747	rDock
LLM (1000)	0.22454	rDock
LLM (1000)	0.22698	rDock
LLM (1000)	0.20352	rDock
LLM (1000)	0.19044	rDock
LLM (1000)	0.13337	rDock
LLM (1000)	0.25474	rDock
LLM (1000)	0.1775	rDock
LLM (1000)	0.16228	rDock
LLM (1000)	0.1982	rDock
LLM (1000)	0.14165	rDock
LLM (1000)	0.2113	rDock
LLM (1000)	0.19738	rDock
LLM (1000)	0.12787	rDock
LLM (1000)	0.18854	rDock
LLM (1000)	0.25376	rDock
LLM (1000)	0.16808	rDock
LLM (1000)	0.21698	rDock
LLM (1000)	0.18256	rDock
LLM (1000)	0.16788	rDock
LLM (1000)	0.22745	rDock
LLM (1000)	0.23119	rDock
LLM (1000)	0.18942	rDock
LLM (1000)	0.20704	rDock
LLM (1000)	0.15939	rDock
LLM (1000)	0.15516	rDock
LLM (1000)	0.16602	rDock
LLM (1000)	0.19853	rDock
LLM (1000)	0.23541	rDock
LLM (1000)	0.22966	rDock
LLM (1000)	0.20356	rDock
LLM (1000)	0.19695	rDock
LLM (1000)	0.18754	rDock
LLM (1000)	0.23134	rDock
LLM (1000)	0.22685	rDock
LLM (1000)	0.15367	rDock
LLM (1000)	0.19261	rDock
LLM (1000)	0.19976	rDock
LLM (1000)	0.21211	rDock
LLM (1000)	0.15793	rDock
LLM (1000)	0.25453	rDock
LLM (1000)	0.16274	rDock
LLM (1000)	0.15237	rDock
LLM (1000)	0.26981	rDock
LLM (1000)	0.18438	rDock
LLM (1000)	0.19438	rDock
LLM (1000)	0.21497	rDock
LLM (1000)	0.2464	rDock
LLM (1000)	0.18341	rDock
LLM (1000)	0.17722	rDock
LLM (1000)	0.17915	rDock
LLM (1000)	0.19474	rDock
LLM (1000)	0.15869	rDock
LLM (1000)	0.17917	rDock
LLM (1000)	0.19362	rDock
LLM (1000)	0.1969	rDock
LLM (1000)	0.19708	rDock
LLM (1000)	0.13937	rDock
LLM (1000)	0.14109	rDock
LLM (1000)	0.13201	rDock
LLM (1000)	0.14641	rDock
LLM (1000)	0.13076	rDock
LLM (1000)	0.14092	rDock
LLM (1000)	0.17396	rDock
LLM (1000)	0.2307	rDock
LLM (1000)	0.18332	rDock
LLM (1000)	0.16368	rDock
LLM (1000)	0.11186	rDock
LLM (1000)	0.24023	rDock
LLM (1000)	0.19675	rDock
LLM (1000)	0.21466	rDock
LLM (1000)	0.23885	rDock
LLM (1000)	0.22589	rDock
LLM (1000)	0.25539	rDock
LLM (1000)	0.24541	rDock
LLM (1000)	0.19553	rDock
LLM (1000)	0.24004	rDock
LLM (1000)	0.27925	rDock
LLM (1000)	0.2109	rDock
LLM (1000)	0.21519	rDock
LLM (1000)	0.24674	rDock
LLM (1000)	0.26024	rDock
LLM (1000)	0.21957	rDock
LLM (1000)	0.22805	rDock
LLM (1000)	0.21017	rDock
LLM (1000)	0.17867	rDock
LLM (1000)	0.16154	rDock
LLM (1000)	0.21122	rDock
LLM (1000)	0.251	rDock
LLM (1000)	0.18641	rDock
LLM (1000)	0.12976	rDock
LLM (1000)	0.23092	rDock
LLM (1000)	0.22896	rDock
LLM (1000)	0.19637	rDock
LLM (1000)	0.21462	rDock
LLM (1000)	0.2175	rDock
LLM (1000)	0.20596	rDock
LLM (1000)	0.13149	rDock
LLM (1000)	0.1982	rDock
LLM (1000)	0.25543	rDock
LLM (1000)	0.102	rDock
LLM (1000)	0.13071	rDock
LLM (1000)	0.18333	rDock
LLM (1000)	0.18523	rDock
LLM (1000)	0.12031	rDock
LLM (1000)	0.19263	rDock
LLM (1000)	0.18851	rDock
LLM (1000)	0.19245	rDock
LLM (1000)	0.14377	rDock
LLM (1000)	0.1689	rDock
LLM (1000)	0.10803	rDock
LLM (1000)	0.12801	rDock
LLM (1000)	0.1925	rDock
LLM (1000)	0.21898	rDock
LLM (1000)	0.22621	rDock
LLM (1000)	0.12024	rDock
LLM (1000)	0.25153	rDock
LLM (1000)	0.2542	rDock
LLM (1000)	0.21885	rDock
LLM (1000)	0.18454	rDock
LLM (1000)	0.21076	rDock
LLM (1000)	0.26927	rDock
LLM (1000)	0.22686	rDock
LLM (1000)	0.25459	rDock
LLM (1000)	0.18757	rDock
LLM (1000)	0.2045	rDock
LLM (1000)	0.18515	rDock
LLM (1000)	0.1021	rDock
LLM (1000)	0.16468	rDock
LLM (1000)	0.24762	rDock
LLM (1000)	0.21332	rDock
LLM (1000)	0.20051	rDock
LLM (1000)	0.19969	rDock
LLM (1000)	0.18177	rDock
LLM (1000)	0.21174	rDock
LLM (1000)	0.18128	rDock
LLM (1000)	0.1944	rDock
LLM (1000)	0.21201	rDock
LLM (1000)	0.2434	rDock
LLM (1000)	0.21857	rDock
LLM (1000)	0.24876	rDock
LLM (1000)	0.23054	rDock
LLM (1000)	0.2092	rDock
LLM (1000)	0.24481	rDock
LLM (1000)	0.18671	rDock
LLM (1000)	0.20343	rDock
LLM (1000)	0.21503	rDock
LLM (1000)	0.26424	rDock
LLM (1000)	0.23379	rDock
LLM (1000)	0.19407	rDock
LLM (1000)	0.2136	rDock
LLM (1000)	0.18246	rDock
LLM (1000)	0.1896	rDock
LLM (1000)	0.24907	rDock
LLM (1000)	0.20733	rDock
LLM (1000)	0.18257	rDock
LLM (1000)	0.26908	rDock
LLM (1000)	0.20184	rDock
LLM (1000)	0.18961	rDock
LLM (1000)	0.2182	rDock
LLM (1000)	0.25005	rDock
LLM (1000)	0.1951	rDock
LLM (1000)	0.24817	rDock
LLM (1000)	0.19626	rDock
LLM (1000)	0.17598	rDock
LLM (1000)	0.22394	rDock
LLM (1000)	0.22972	rDock
LLM (1000)	0.19204	rDock
LLM (1000)	0.20707	rDock
LLM (1000)	0.21431	rDock
LLM (1000)	0.15136	rDock
LLM (1000)	0.18951	rDock
LLM (1000)	0.27212	rDock
LLM (1000)	0.13408	rDock
LLM (1000)	0.18547	rDock
LLM (1000)	0.21123	rDock
LLM (1000)	0.25968	rDock
LLM (1000)	0.25778	rDock
LLM (1000)	0.19367	rDock
LLM (1000)	0.24751	rDock
LLM (1000)	0.25769	rDock
LLM (1000)	0.21875	rDock
LLM (1000)	0.23204	rDock
LLM (1000)	0.21587	rDock
LLM (1000)	0.16171	rDock
LLM (1000)	0.15488	rDock
LLM (1000)	0.14605	rDock
LLM (1000)	0.09279	rDock
LLM (1000)	0.19297	rDock
LLM (1000)	0.1656	rDock
LLM (1000)	0.25337	rDock
LLM (1000)	0.22352	rDock
LLM (1000)	0.16523	rDock
LLM (1000)	0.25895	rDock
LLM (1000)	0.2768	rDock
LLM (1000)	0.21344	rDock
LLM (1000)	0.1963	rDock
LLM (1000)	0.21415	rDock
LLM (1000)	0.25594	rDock
LLM (1000)	0.05593	rDock
LLM (1000)	0.14006	rDock
LLM (1000)	0.25334	rDock
LLM (1000)	0.25579	rDock
LLM (1000)	0.20693	rDock
LLM (1000)	0.15278	rDock
LLM (1000)	0.2758	rDock
LLM (1000)	0.19436	rDock
LLM (1000)	0.19908	rDock
LLM (1000)	0.21477	rDock
LLM (1000)	0.2344	rDock
LLM (1000)	0.19395	rDock
LLM (1000)	0.19592	rDock
LLM (1000)	0.17381	rDock
LLM (1000)	0.19197	rDock
LLM (1000)	0.21989	rDock
LLM (1000)	0.1612	rDock
LLM (1000)	0.24305	rDock
LLM (1000)	0.17444	rDock
LLM (1000)	0.15929	rDock
LLM (1000)	0.16494	rDock
LLM (1000)	0.12003	rDock
LLM (1000)	0.19784	rDock
LLM (1000)	0.22231	rDock
LLM (1000)	0.18277	rDock
LLM (1000)	0.17918	rDock
LLM (1000)	0.21732	rDock
LLM (1000)	0.22105	rDock
LLM (1000)	0.19159	rDock
LLM (1000)	0.20239	rDock
LLM (1000)	0.13165	rDock
LLM (1000)	0.20849	rDock
LLM (1000)	0.19613	rDock
LLM (1000)	0.18433	rDock
LLM (1000)	0.21691	rDock
LLM (1000)	0.28104	rDock
LLM (1000)	0.18209	rDock
LLM (1000)	0.2316	rDock
LLM (1000)	0.21075	rDock
LLM (1000)	0.24978	rDock
LLM (1000)	0.15642	rDock
LLM (1000)	0.25692	rDock
LLM (1000)	0.2157	rDock
