Pocket Set	Cosine distance threshold	# of artificially included outlier values	Mean proportion (%)	Min proportion (%)	Max proportion (%)	Standard Deviation (%)
PDB-LIG	0.11	87	0.0	0.0	0.0	0.0
PDB-LIG	0.11	88	0.0	0.0	0.0	0.0
PDB-LIG	0.11	89	0.0	0.0	0.0	0.0
PDB-LIG	0.11	90	0.0	0.0	0.0	0.0
PDB-LIG	0.11	91	0.0	0.0	0.0	0.0
PDB-LIG	0.11	92	0.00010000000000000002	0.0	0.001	0.00030000000000000003
PDB-LIG	0.11	93	0.0	0.0	0.0	0.0
PDB-LIG	0.11	94	0.0	0.0	0.0	0.0
PDB-LIG	0.11	95	0.00010000000000000002	0.0	0.001	0.00030000000000000003
PDB-LIG	0.11	96	0.0005	0.0	0.002	0.000670820393249937
PDB-LIG	0.11	97	0.0013000000000000002	0.0	0.003	0.0009
PDB-LIG	0.11	98	0.0024000000000000002	0.0	0.005	0.001854723699099141
PDB-LIG	0.11	99	0.005399999999999999	0.002	0.011000000000000001	0.0030066592756745818
PDB-LIG	0.11	100	0.016300000000000002	0.011000000000000001	0.022000000000000002	0.00363455636907725
PDB-LIG	0.11	101	0.035500000000000004	0.029	0.047	0.006296824596572466
PDB-LIG	0.11	102	0.0787	0.066	0.094	0.007211795892841116
PDB-LIG	0.11	103	0.18409999999999999	0.166	0.20500000000000002	0.01144071676076285
PDB-LIG	0.11	104	0.41000000000000003	0.385	0.46499999999999997	0.027294688127912355
PDB-LIG	0.11	105	0.9173999999999998	0.857	0.97	0.040559092692021605
PDB-LIG	0.11	106	2.0653	1.9789999999999999	2.122	0.04587602859882278
PDB-LIG	0.11	107	4.485200000000001	4.372	4.593	0.06853291180155696
PDB-LIG	0.11	108	9.523699999999998	9.342	9.657	0.09384034313662741
PDB-LIG	0.11	109	19.1939	19.017999999999997	19.415	0.10974556938665012
PDB-LIG	0.11	110	35.7726	35.481	35.992000000000004	0.17197744038099896
PDB-LIG	0.11	111	59.83350000000001	59.443999999999996	60.150000000000006	0.2021189006500899
PDB-LIG	0.11	112	85.8864	85.707	86.107	0.15105575129732784
PDB-LIG	0.11	113	100.0	100.0	100.0	0.0
PDB-LIG	0.11	114	100.0	100.0	100.0	0.0
PDB-LIG	0.11	115	100.0	100.0	100.0	0.0
PDB-LIG	0.11	116	100.0	100.0	100.0	0.0
PDB-LIG	0.11	117	100.0	100.0	100.0	0.0
PDB-LIG	0.11	118	100.0	100.0	100.0	0.0
PDB-LIG	0.11	119	100.0	100.0	100.0	0.0
PDB-LIG	0.11	120	100.0	100.0	100.0	0.0
PDB-LIG	0.11	121	100.0	100.0	100.0	0.0
PDB-LIG	0.11	122	100.0	100.0	100.0	0.0
PDB-LIG	0.11	123	100.0	100.0	100.0	0.0
PDB-LIG	0.11	124	100.0	100.0	100.0	0.0
PDB-LIG	0.11	125	100.0	100.0	100.0	0.0
PDB-LIG	0.11	126	100.0	100.0	100.0	0.0
PDB-LIG	0.11	127	100.0	100.0	100.0	0.0
PDB-LIG	0.13	0	0.007100000000000002	0.005	0.012	0.002211334438749598
PDB-LIG	0.13	1	0.006500000000000001	0.003	0.012	0.0026551836094703507
PDB-LIG	0.13	2	0.005600000000000001	0.002	0.011000000000000001	0.0027276363393971713
PDB-LIG	0.13	3	0.0045000000000000005	0.0	0.008	0.002247220505424423
PDB-LIG	0.13	4	0.0023	0.0	0.006	0.0020024984394500784
PDB-LIG	0.13	5	0.0023	0.0	0.008	0.002193171219946131
