Pocket Set	Molecule name	Average docking ranking	MW heavy atoms	MW exact
PDB-LIG	Pyxis Discovery PYX 00000172	63.072319201995015	307.22	335.21
PDB-LIG	Chem T&I IVK/0000448	75.214463840399	348.3	372.15
PDB-LIG	Life Chemicals F0577-0037	61.947630922693264	370.33	395.17
PDB-LIG	Life Chemicals F0642-0697	58.82543640897756	317.26	331.08
PDB-LIG	Chem T&I AMSACS-26179	56.687655860349125	272.24	290.11
PDB-LIG	Tripos 1527-02989	60.20822942643392	278.63	292.08
PDB-LIG	Enamine T0503-9700	48.19014962593516	302.23	321.16
PDB-LIG	Tripos 1513-09513	70.20386533665835	362.31	387.16
PDB-LIG	Chembridge 7916788	84.32668329177058	306.3	323.06
PDB-LIG	Asinex ASN 03798095	67.66645885286783	362.31	394.22
PDB-LIG	Life Chemicals F1895-0070	70.73815461346634	425.39	441.07
PDB-LIG	Asinex BAS 05101595	62.57793017456359	372.3	396.18
PDB-LIG	InterBioScreen STOCK4S-15128	72.2150872817955	422.38	445.11
PDB-LIG	Asinex ASN 05588575	56.43827930174564	400.33	418.11
PDB-LIG	Biofocus 170_4347_0164	63.46882793017456	322.64	336.08
PDB-LIG	InterBioScreen STOCK5S-06824	58.380299251870326	325.67	341.09
PDB-LIG	Biofocus 119_0552_0135	82.84039900249377	378.29	401.19
PDB-LIG	Cerep CER0099275	54.104738154613464	392.22	411.13
PDB-LIG	Chemical Block A3816/0161993	72.63528678304239	344.31	362.12
PDB-LIG	Biofocus 170_0148_0349	50.51620947630923	366.28	387.17
PDB-LIG	Life Chemicals F0631-0161	50.61845386533666	348.3	373.17
PDB-LIG	Chembridge 9001855	68.85473815461347	425.75	449.15
PDB-LIG	Maybridge HTS 07015	61.99501246882793	322.21	342.13
PDB-LIG	Tripos 1554-03007	65.07356608478803	316.68	329.03
PDB-LIG	Asinex ASN 06116813	73.87219451371571	414.32	437.19
PDB-LIG	Tripos 1559-05871	58.239401496259354	309.11	323.01
PDB-LIG	Specs AN-648/40682295	68.63029925187033	264.2	282.14
PDB-LIG	ASDI 150016433	55.56795511221945	126.09	133.05
PDB-LIG	Tripos 1557-01752	55.56296758104738	354.71	372.08
PDB-LIG	Tripos 1518-06794	77.01995012468828	392.38	415.13
PDB-LIG	InterBioScreen STOCK5S-48304	61.35349127182045	414.32	437.17
PDB-LIG	Chem T&I PMOS-0027433	46.23503740648379	424.29	444.15
PDB-LIG	Lithuania 1067744	68.27244389027432	359.25	378.14
PDB-LIG	Maybridge HTS 06299	56.62468827930174	341.25	352.05
PDB-LIG	InterBioScreen STOCK5S-05837	76.32418952618454	421.71	446.14
PDB-LIG	Life Chemicals F1608-0478	71.31296758104739	350.27	377.21
PDB-LIG	Chemdiv 1416-0529	73.84663341645886	354.26	377.17
PDB-LIG	Chemical Block A3577/0151844	58.155236907730675	338.28	361.15
PDB-LIG	Comgenex CGX-0740668	56.88653366583541	371.27	396.2
PDB-LIG	Asinex ASN 06745065	77.62718204488777	276.22	296.17
PDB-LIG	Life Chemicals F0497-0082	86.49002493765586	382.27	405.18
PDB-LIG	InnovaPharm STT-00192300	67.56483790523691	332.23	355.18
PDB-LIG	Tripos 1534-05651	53.05673316708229	380.37	402.11
PDB-LIG	Chembridge 5859646	83.4064837905237	320.22	344.17
PDB-LIG	Specs AK-968/37053096	71.99002493765586	341.25	354.08
PDB-LIG	InterBioScreen STOCK3S-07953	56.996882793017456	308.21	324.12
PDB-LIG	Maybridge RJF 01152	73.18453865336659	289.64	305.09
PDB-LIG	Tripos 1518-03381	66.12655860349128	377.77	400.12
PDB-LIG	Specs AG-205/07903010	54.916458852867834	341.21	353.08
PDB-LIG	Asinex ASN 04479736	62.411471321695764	378.31	401.15
PDB-LIG	Asinex ASN 05110337	58.87468827930174	415.27	434.13
PDB-LIG	Chem T&I AMCLME-05084	63.91832917705736	284.19	307.17
PDB-LIG	Bionet 10W-0283	57.60037406483791	280.22	296.08
PDB-LIG	ASDI 100018405	57.254364089775564	285.67	297.02
AF2-LIG	Enamine T0505-3993	75.46548042704626	355.29	370.08
AF2-LIG	Chem T&I AMSACS-17229	63.85978647686833	322.31	335.04
AF2-LIG	Chemical Block A3692/0156694	62.15444839857651	324.22	340.14
AF2-LIG	Life Chemicals F0778-0231	58.32597864768683	408.31	426.1
AF2-LIG	Princeton Biomolecular OSSK_459353	77.86049822064057	339.21	355.1
AF2-LIG	Toslab 44086	65.90391459074733	286.23	314.23
AF2-LIG	Specs AM-900/15051004	69.58078291814947	348.28	378.25
AF2-LIG	Life Chemicals F2584-0097	69.07259786476868	352.29	372.11
AF2-LIG	Asinex ASN 06235439	69.33807829181495	354.26	381.21
AF2-LIG	Specs AA-504/36954121	67.2405693950178	374.32	391.1
AF2-LIG	Specs AP-866/42442546	65.44982206405695	379.3	393.03
AF2-LIG	EMC Microcollections 009B3204	72.87615658362989	356.26	379.18
AF2-LIG	Chembridge 9014479	64.85693950177937	298.2	315.13
AF2-LIG	Chem T&I NSB 0071574	74.84626334519572	427.76	446.08
AF2-LIG	Chem T&I AMSACS-12929	64.58007117437722	298.23	319.13
AF2-LIG	Life Chemicals F0396-0052	54.38007117437722	362.31	381.11
AF2-LIG	Chem T&I AMSACS-08712	65.84270462633452	334.32	351.08
AF2-LIG	Life Chemicals F0560-0107	48.0220640569395	355.26	374.14
AF2-LIG	Chemdiv 8005-4355	73.932384341637	418.17	435.06
AF2-LIG	InterBioScreen STOCK5S-70232	54.772953736654806	408.38	430.1
AF2-LIG	Chembridge 5707467	67.06903914590747	372.32	394.14
AF2-LIG	Asinex ASN 04371767	74.12811387900356	400.33	420.13
AF2-LIG	A-Synthese-Biotech EX-14747	54.01779359430605	413.74	429.09
AF2-LIG	InterBioScreen STOCK3S-81928	58.1423487544484	366.28	387.18
AF2-LIG	Nanosyn NS61821	67.20427046263345	388.32	410.14
AF2-LIG	Asinex ASN 05317597	68.39288256227758	396.3	412.08
AF2-LIG	Chem T&I AMSACS-11579	71.77580071174377	342.13	357.01
AF2-LIG	Bionet 8K-348S	70.69110320284697	419.2	434.03
AF2-LIG	InterBioScreen STOCK5S-22526	72.71174377224199	359.66	372.06
AF2-LIG	Asinex ASN 05343028	70.80213523131673	388.35	404.06
AF2-LIG	Asinex ASN 03365236	63.74590747330961	377.31	399.14
AF2-LIG	Life Chemicals F0566-0293	65.55943060498221	413.37	433.09
AF2-LIG	EMC Microcollections 001A3586	62.644128113879006	396.35	418.15
AF2-LIG	Chem T&I AMSACS-01505	66.40284697508896	371.71	383.03
AF2-LIG	Chem T&I ARAK0118211	67.29608540925267	348.3	372.15
AF2-LIG	Chembridge 7634772	60.73736654804271	397.35	415.13
AF2-LIG	Chem T&I IVK/0000805	67.87758007117438	332.3	359.18
AF2-LIG	InterBioScreen STOCK5S-68320	63.73238434163701	371.27	390.15
AF2-LIG	InterBioScreen STOCK3S-83770	56.508185053380785	362.28	383.16
AF2-LIG	Life Chemicals F0529-0304	72.82562277580071	346.33	361.06
AF2-LIG	Chem T&I AMSACS-12205	57.491814946619215	359.73	376.08
AF2-LIG	Nanosyn NS40942	61.297508896797154	360.31	380.12
AF2-LIG	Comgenex CGX-3127127	71.4846975088968	407.78	428.11
AF2-LIG	Pharmeks PHAR059863	70.91814946619218	324.28	340.1
AF2-LIG	Lithuania 1050567	47.844839857651245	387.74	401.04
AF2-LIG	Chem T&I AMCLME-04601	58.89608540925267	385.75	408.11
AF2-LIG	InterBioScreen STOCK4S-52524	65.64768683274022	390.3	421.25
AF2-LIG	Cerep CER0136666	71.36370106761566	352.27	378.21
AF2-LIG	Asinex BAS 02903336	62.84555160142349	427.76	444.05
AF2-LIG	Life Chemicals F0417-0114	62.63131672597865	403.81	418.03
AF2-LIG	Life Chemicals F1359-1195	61.76939501779359	409.79	425.03
AF2-LIG	Pyxis Discovery PYX 00003417	53.90533807829181	403.31	425.18
AF2-LIG	Asinex ASN 09961559	55.89110320284698	358.32	383.17
AF2-LIG	Pyxis Discovery PYX 00004219	71.07046263345195	389.26	411.16
AF2-LIG	Asinex ASN 03271999	86.05266903914591	375.23	390.12
AF2-LIG	InterBioScreen STOCK4S-65808	86.65053380782918	380.16	396.03
AF2-LIG	Life Chemicals F0579-0521	61.014946619217085	409.38	427.08
AF2-LIG	Chem T&I UZI/1102918	56.994306049822065	372.34	390.07
AF2-LIG	Asinex ASN 06916822	58.43629893238434	368.27	394.21
AF2-LIG	Asinex ASN 04361294	63.301779359430604	380.39	400.06
AF2-LIG	Tripos 1557-10610	85.5829181494662	326.27	347.12
AF2-LIG	Maybridge ML 00307	58.85551601423487	256.18	268.11
AF2-LIG	Bionet 10X-0864	55.28683274021353	367.77	386.05
AF2-LIG	Tripos 1526-22023	83.51387900355871	326.27	351.16
AF2-LIG	InterBioScreen STOCK5S-13559	56.31245551601423	361.73	375.04
AF2-LIG	Otava 0120630218	77.86192170818505	334.08	346.01
AF2-LIG	Asinex ASN 02617640	75.2711743772242	378.38	397.1
AF2-LIG	Chem T&I AMSACS-08601	66.68042704626335	345.73	363.08
AF2-LIG	Tripos 1557-13590	73.55516014234875	346.3	365.11
AF2-LIG	EMC Microcollections 013A0485	78.74448398576513	305.7	324.09
