Pocket Set	Outlier molecules	Proportion of PocketVec descriptors with <=N outlier molecules
AF2-PD	106	0.9993168126203341
AF2-PD	107	0.9993478665921371
AF2-PD	108	0.9993789205639402
AF2-PD	109	0.9993789205639402
AF2-PD	110	0.9993789205639402
AF2-PD	111	0.9993789205639402
AF2-PD	112	0.9993789205639402
AF2-PD	113	0.9994099745357431
AF2-PD	114	0.9994410285075461
AF2-PD	115	0.9995652443947581
AF2-PD	116	0.9996273523383641
AF2-PD	117	0.9996273523383641
AF2-PD	118	0.9996584063101671
AF2-PD	119	0.9996584063101671
AF2-PD	120	0.9996584063101671
AF2-PD	121	0.9996584063101671
AF2-PD	122	0.99968946028197
AF2-PD	123	0.9997205142537731
AF2-PD	124	0.999782622197379
AF2-PD	125	0.999813676169182
AF2-PD	126	0.9998447301409851
AF2-PD	127	0.999968946028197
