ProSPECCTs Dataset	Strategy	Compound library _ # of cpds	Docking strategy	AUROC	ProSPECCTs Dataset SIZE (# of pairs)
P5	PocketVec	LLM_128	rDock	0.6363	6400
P5.2	Cavbase	-	-	0.57	10000
P5.2	FuzCav	-	-	0.54	10000
P5.2	FuzCav (PDB)	-	-	0.54	10000
P5.2	grim	-	-	0.61	10000
P5.2	grim (PDB)	-	-	0.58	10000
P5.2	IsoMIF	-	-	0.81	10000
P5.2	KRIPO	-	-	0.77	10000
P5.2	PocketMatch	-	-	0.6	10000
P5.2	ProBis	-	-	0.55	10000
P5.2	RAPMAD	-	-	0.52	10000
P5.2	shaper	-	-	0.65	10000
P5.2	shaper (PDB)	-	-	0.64	10000
P5.2	VolSite/shaper	-	-	0.58	10000
P5.2	Volsite/shaper (PDB)	-	-	0.56	10000
P5.2	SiteAlign	-	-	0.57	10000
P5.2	SiteEngine	-	-	0.57	10000
P5.2	SiteHopper	-	-	0.81	10000
P5.2	SMAP	-	-	0.54	10000
P5.2	TIFP	-	-	0.63	10000
P5.2	TIFP (PDB)	-	-	0.53	10000
P5.2	TM-align	-	-	0.62	10000
P5.2	DeeplyTough	-	-	0.63	10000
P5.2	BindSiteS-CNN	-	-	0.66	10000
P5.2	PocketVec	LLM_128	rDock	0.6157	10000
P7	Cavbase	-	-	0.82	56399
P7	FuzCav	-	-	0.77	56399
P7	FuzCav (PDB)	-	-	0.77	56399
P7	grim	-	-	0.7	56399
P7	grim (PDB)	-	-	0.64	56399
P7	IsoMIF	-	-	0.87	56399
P7	KRIPO	-	-	0.85	56399
P7	PocketMatch	-	-	0.82	56399
P7	ProBis	-	-	0.85	56399
P7	RAPMAD	-	-	0.74	56399
P7	shaper	-	-	0.75	56399
P7	shaper (PDB)	-	-	0.75	56399
P7	VolSite/shaper	-	-	0.77	56399
P7	Volsite/shaper (PDB)	-	-	0.72	56399
P7	SiteAlign	-	-	0.87	56399
P7	SiteEngine	-	-	0.86	56399
P7	SiteHopper	-	-	0.77	56399
P7	SMAP	-	-	0.86	56399
P7	TIFP	-	-	0.71	56399
P7	TIFP (PDB)	-	-	0.66	56399
P7	TM-align	-	-	0.88	56399
P7	DeeplyTough	-	-	0.83	56399
P7	BindSiteS-CNN	-	-	0.78	56399
P7	PocketVec	LLM_128	rDock	0.8705	56399
Av	Cavbase	-	-	0.755	-
Av	FuzCav	-	-	0.75625	-
Av	FuzCav (PDB)	-	-	0.75625	-
Av	grim	-	-	0.7112499999999999	-
Av	grim (PDB)	-	-	0.6575	-
Av	IsoMIF	-	-	0.7562500000000001	-
Av	KRIPO	-	-	0.8075000000000001	-
Av	PocketMatch	-	-	0.75	-
Av	ProBis	-	-	0.7337499999999999	-
Av	RAPMAD	-	-	0.6937500000000001	-
Av	shaper	-	-	0.7925	-
Av	shaper (PDB)	-	-	0.7925	-
Av	VolSite/shaper	-	-	0.75625	-
Av	Volsite/shaper (PDB)	-	-	0.74875	-
Av	SiteAlign	-	-	0.83125	-
Av	SiteEngine	-	-	0.8300000000000001	-
Av	SiteHopper	-	-	0.84	-
Av	SMAP	-	-	0.80375	-
Av	TIFP	-	-	0.73	-
Av	TIFP (PDB)	-	-	0.61625	-
Av	TM-align	-	-	0.7675000000000001	-
Av	DeeplyTough	-	-	0.80875	-
Av	BindSiteS-CNN	-	-	0.81625	-
Av	PocketVec	LLM_128	rDock	0.8044625000000001	-
W.Av	Cavbase	-	-	0.8470781581118226	-
W.Av	FuzCav	-	-	0.8614275886795641	-
W.Av	FuzCav (PDB)	-	-	0.8584589912581142	-
W.Av	grim	-	-	0.7423936559387396	-
W.Av	grim (PDB)	-	-	0.6871310933041063	-
W.Av	IsoMIF	-	-	0.7381410303123934	-
W.Av	KRIPO	-	-	0.8618037899965313	-
W.Av	PocketMatch	-	-	0.8181371826001789	-
W.Av	ProBis	-	-	0.8698655632671741	-
W.Av	RAPMAD	-	-	0.7711008537840209	-
W.Av	shaper	-	-	0.8657812750502099	-
W.Av	shaper (PDB)	-	-	0.8656763374443613	-
W.Av	VolSite/shaper	-	-	0.8067341959593193	-
W.Av	Volsite/shaper (PDB)	-	-	0.794964394087349	-
W.Av	SiteAlign	-	-	0.9217481730654314	-
W.Av	SiteEngine	-	-	0.9148072791719256	-
W.Av	SiteHopper	-	-	0.9057287479486156	-
W.Av	SMAP	-	-	0.9102921637842832	-
W.Av	TIFP	-	-	0.7485737521898439	-
W.Av	TIFP (PDB)	-	-	0.6433532811948895	-
W.Av	TM-align	-	-	0.8829914213507218	-
W.Av	DeeplyTough	-	-	0.8695869539236463	-
W.Av	BindSiteS-CNN	-	-	0.8513739247539067	-
W.Av	PocketVec	LLM_128	rDock	0.8895820227306515	-
