Name	SMILES	InChI	InChIKey	Molecular Weight
Schrodinger_fragment_397	C[N@@H+]1CCCN2CC(=O)NC[C@@H]21	InChI=1S/C8H15N3O/c1-10-3-2-4-11-6-7(12)9-5-8(10)11/h8H,2-6H2,1H3,(H,9,12)/p+1/t8-/m1/s1	VXCAQXFQANYBOR-MRVPVSSYSA-O	170.23600000000002
Schrodinger_fragment_255	C[N@@H+]1CCC[C@]12CCNC2=O	InChI=1S/C8H14N2O/c1-10-6-2-3-8(10)4-5-9-7(8)11/h2-6H2,1H3,(H,9,11)/p+1/t8-/m1/s1	SZPVVHGAXYSIOO-MRVPVSSYSA-O	155.221
Schrodinger_fragment_249	C[N@@H+]1CCC[C@@]12CCNC2=O	InChI=1S/C8H14N2O/c1-10-6-2-3-8(10)4-5-9-7(8)11/h2-6H2,1H3,(H,9,11)/p+1/t8-/m0/s1	SZPVVHGAXYSIOO-QMMMGPOBSA-O	155.221
Schrodinger_fragment_248	C[N@H+]1CCC[C@@]12CCNC2=O	InChI=1S/C8H14N2O/c1-10-6-2-3-8(10)4-5-9-7(8)11/h2-6H2,1H3,(H,9,11)/p+1/t8-/m0/s1	SZPVVHGAXYSIOO-QMMMGPOBSA-O	155.221
Schrodinger_fragment_226	O=c1cc([O-])[nH]c(=O)[n-]1	InChI=1S/C4H4N2O3/c7-2-1-3(8)6-4(9)5-2/h1H,(H3,5,6,7,8,9)/p-2	GWEJPUMJAQFCBN-UHFFFAOYSA-L	126.07099999999997
Schrodinger_fragment_373	CN1CN(C)S(=O)(=O)c2ccccc21	InChI=1S/C9H12N2O2S/c1-10-7-11(2)14(12,13)9-6-4-3-5-8(9)10/h3-6H,7H2,1-2H3	QHXFFCUJHFOTOM-UHFFFAOYSA-N	212.27399999999997
Schrodinger_fragment_179_a	[O-]C1=NCC=C1	InChI=1S/C4H5NO/c6-4-2-1-3-5-4/h1-2H,3H2,(H,5,6)/p-1	CDCHBOQVXIGZHA-UHFFFAOYSA-M	82.08199999999998
Schrodinger_fragment_399_a	CN1C[C@@H]2N(C)CCC[N@@H+]2CC1=O	InChI=1S/C9H17N3O/c1-10-4-3-5-12-7-9(13)11(2)6-8(10)12/h8H,3-7H2,1-2H3/p+1/t8-/m1/s1	JOCPCMZUIOZPLT-MRVPVSSYSA-O	184.263
Schrodinger_fragment_221_a	Cn1ccnc([O-])c1=O	InChI=1S/C5H6N2O2/c1-7-3-2-6-4(8)5(7)9/h2-3H,1H3,(H,6,8)/p-1	DRAOJHYAARPEKO-UHFFFAOYSA-M	125.10699999999999
Schrodinger_fragment_290	CN1C(=O)[N-]C(=O)C12CC[NH+](C)CC2	InChI=1S/C9H15N3O2/c1-11-5-3-9(4-6-11)7(13)10-8(14)12(9)2/h3-6H2,1-2H3,(H,10,13,14)	WDQXFBROQINCJI-UHFFFAOYSA-N	197.238
Schrodinger_fragment_23_a	CS([NH-])(=O)=O	InChI=1S/CH4NO2S/c1-5(2,3)4/h1H3,(H-,2,3,4)/q-1	YGYSYVIYOVIODP-UHFFFAOYSA-N	94.115
Schrodinger_fragment_226_a	O=c1cc([O-])[nH]c(=O)[nH]1	InChI=1S/C4H4N2O3/c7-2-1-3(8)6-4(9)5-2/h1H,(H3,5,6,7,8,9)/p-1	GWEJPUMJAQFCBN-UHFFFAOYSA-M	127.07899999999998
