Name	SMILES	InChI	InChIKey	Molecular Weight
Schrodinger_fragment_30	O=C1CCN1	InChI=1S/C3H5NO/c5-3-1-2-4-3/h1-2H2,(H,4,5)	MNFORVFSTILPAW-UHFFFAOYSA-N	71.079
Schrodinger_fragment_31	CN1CCC1=O	InChI=1S/C4H7NO/c1-5-3-2-4(5)6/h2-3H2,1H3	QOEUNLQGZBSTBB-UHFFFAOYSA-N	85.10599999999998
Schrodinger_fragment_32	O=C1CCCN1	InChI=1S/C4H7NO/c6-4-2-1-3-5-4/h1-3H2,(H,5,6)	HNJBEVLQSNELDL-UHFFFAOYSA-N	85.106
Schrodinger_fragment_33	CN1CCCC1=O	InChI=1S/C5H9NO/c1-6-4-2-3-5(6)7/h2-4H2,1H3	SECXISVLQFMRJM-UHFFFAOYSA-N	99.13299999999998
Schrodinger_fragment_34	O=C1CCC(=O)N1	InChI=1S/C4H5NO2/c6-3-1-2-4(7)5-3/h1-2H2,(H,5,6,7)	KZNICNPSHKQLFF-UHFFFAOYSA-N	99.08899999999998
Schrodinger_fragment_34_a	O=C1CCC(=O)[N-]1	InChI=1S/C4H5NO2/c6-3-1-2-4(7)5-3/h1-2H2,(H,5,6,7)/p-1	KZNICNPSHKQLFF-UHFFFAOYSA-M	98.08099999999999
Schrodinger_fragment_35	CN1C(=O)CCC1=O	InChI=1S/C5H7NO2/c1-6-4(7)2-3-5(6)8/h2-3H2,1H3	KYEACNNYFNZCST-UHFFFAOYSA-N	113.11599999999999
Schrodinger_fragment_36	O=C1C=CC(=O)N1	InChI=1S/C4H3NO2/c6-3-1-2-4(7)5-3/h1-2H,(H,5,6,7)	PEEHTFAAVSWFBL-UHFFFAOYSA-N	97.07299999999998
Schrodinger_fragment_37	CN1C(=O)C=CC1=O	InChI=1S/C5H5NO2/c1-6-4(7)2-3-5(6)8/h2-3H,1H3	SEEYREPSKCQBBF-UHFFFAOYSA-N	111.09999999999998
Schrodinger_fragment_38	O=C1NC(=O)c2ccccc21	InChI=1S/C8H5NO2/c10-7-5-3-1-2-4-6(5)8(11)9-7/h1-4H,(H,9,10,11)	XKJCHHZQLQNZHY-UHFFFAOYSA-N	147.13299999999998
Schrodinger_fragment_38_a	O=C1[N-]C(=O)c2ccccc21	InChI=1S/C8H5NO2/c10-7-5-3-1-2-4-6(5)8(11)9-7/h1-4H,(H,9,10,11)/p-1	XKJCHHZQLQNZHY-UHFFFAOYSA-M	146.125
Schrodinger_fragment_39	CN1C(=O)c2ccccc2C1=O	InChI=1S/C9H7NO2/c1-10-8(11)6-4-2-3-5-7(6)9(10)12/h2-5H,1H3	ZXLYYQUMYFHCLQ-UHFFFAOYSA-N	161.16
Schrodinger_fragment_40	O=C1CCN1c1ccccc1	InChI=1S/C9H9NO/c11-9-6-7-10(9)8-4-2-1-3-5-8/h1-5H,6-7H2	OPISVEPYALEQJT-UHFFFAOYSA-N	147.17699999999996
Schrodinger_fragment_41	c1ccccc1	InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H	UHOVQNZJYSORNB-UHFFFAOYSA-N	78.11399999999999
Schrodinger_fragment_42	Oc1ccccc1	InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H	ISWSIDIOOBJBQZ-UHFFFAOYSA-N	94.11299999999999
Schrodinger_fragment_43	COc1ccccc1	InChI=1S/C7H8O/c1-8-7-5-3-2-4-6-7/h2-6H,1H3	RDOXTESZEPMUJZ-UHFFFAOYSA-N	108.13999999999999
Schrodinger_fragment_44	Nc1ccccc1	InChI=1S/C6H7N/c7-6-4-2-1-3-5-6/h1-5H,7H2	PAYRUJLWNCNPSJ-UHFFFAOYSA-N	93.129
Schrodinger_fragment_45	CNc1ccccc1	InChI=1S/C7H9N/c1-8-7-5-3-2-4-6-7/h2-6,8H,1H3	AFBPFSWMIHJQDM-UHFFFAOYSA-N	107.15599999999999
Schrodinger_fragment_46	[S-]c1ccccc1	InChI=1S/C6H6S/c7-6-4-2-1-3-5-6/h1-5,7H/p-1	RMVRSNDYEFQCLF-UHFFFAOYSA-M	109.173
Schrodinger_fragment_46_a	Sc1ccccc1	InChI=1S/C6H6S/c7-6-4-2-1-3-5-6/h1-5,7H	RMVRSNDYEFQCLF-UHFFFAOYSA-N	110.181
Schrodinger_fragment_47	N#Cc1ccccc1	InChI=1S/C7H5N/c8-6-7-4-2-1-3-5-7/h1-5H	JFDZBHWFFUWGJE-UHFFFAOYSA-N	103.124
Schrodinger_fragment_48	CC(=O)c1ccccc1	InChI=1S/C8H8O/c1-7(9)8-5-3-2-4-6-8/h2-6H,1H3	KWOLFJPFCHCOCG-UHFFFAOYSA-N	120.15099999999998
Schrodinger_fragment_49	O=C([O-])c1ccccc1	InChI=1S/C7H6O2/c8-7(9)6-4-2-1-3-5-6/h1-5H,(H,8,9)/p-1	WPYMKLBDIGXBTP-UHFFFAOYSA-M	121.11499999999998
Schrodinger_fragment_50	NC(=O)c1ccccc1	InChI=1S/C7H7NO/c8-7(9)6-4-2-1-3-5-6/h1-5H,(H2,8,9)	KXDAEFPNCMNJSK-UHFFFAOYSA-N	121.139
